groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,heroRole,note
sleek-50ml-clear-18-415-lotionpump,LBSlk50LtnMtGl,LB-SLK-CLR-50ML-LPM-MGLD,LBSlk50LtnMtGl__LB-SLK-CLR-50ML-LPM-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /12. Sleek 50ml/1. Sleek 50ml PSD/14. LBSlk50LtnMtGl.psd,ready,hero,
sleek-50ml-clear-18-415-perfumespray,GBSlk50SpryMtGl,GB-SLK-CLR-50ML-SPR-MGLD,GBSlk50SpryMtGl__GB-SLK-CLR-50ML-SPR-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/12. Sleek 50ml/1. Sleek 50ml PSD/11. GBSlk50SpryMtGl.psd,ready,,
sleek-50ml-clear-18-415-perfumespray,GBSlk50SpryMtGl,GB-SLK-CLR-50ML-SPR-MGLD,GBSlk50SpryMtGl__GB-SLK-CLR-50ML-SPR-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /12. Sleek 50ml/1. Sleek 50ml PSD/13. GBSlk50SpryMtGl.psd,ready,hero,
sleek-50ml-clear-18-415-reducer,GBSlk50RdcrShnGl,GB-SLK-CLR-50ML-RDC-SGLD,GBSlk50RdcrShnGl__GB-SLK-CLR-50ML-RDC-SGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/12. Sleek 50ml/1. Sleek 50ml PSD/1. GBSlk50RdcrShnGl.psd,ready,,
sleek-50ml-clear-18-415-reducer,GBSlk50RdcrShnGl,GB-SLK-CLR-50ML-RDC-SGLD,GBSlk50RdcrShnGl__GB-SLK-CLR-50ML-RDC-SGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /12. Sleek 50ml/1. Sleek 50ml PSD/1. GBSlk50RdcrShnGl.psd,ready,hero,
sleek-5ml-clear-13-415,GBSleek5Gl,GB-SLK-CLR-5ML-GLD-T,GBSleek5Gl__GB-SLK-CLR-5ML-GLD-T.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/5. Sleek 5ml/2. Sleek 5ml (Capped) PSD/28. GBSleek5Gl.psd,ready,,
sleek-5ml-clear-13-415,GBSleek5Gl,GB-SLK-CLR-5ML-GLD-T,GBSleek5Gl__GB-SLK-CLR-5ML-GLD-T.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/5. Sleek 5ml/1. Sleek 5ml PSD (Uncapped) /28. GBSleek5Gl.psd,ready,hero,
sleek-5ml-clear-13-415-finemist,GBSleek5SpryGlMatt,GB-SLK-CLR-5ML-SPR-MGLD,GBSleek5SpryGlMatt__GB-SLK-CLR-5ML-SPR-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/5. Sleek 5ml/2. Sleek 5ml (Capped) PSD/7. GBSleek5SpryGlMatt.psd,ready,,
sleek-5ml-clear-13-415-finemist,GBSleek5SpryGlMatt,GB-SLK-CLR-5ML-SPR-MGLD,GBSleek5SpryGlMatt__GB-SLK-CLR-5ML-SPR-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/5. Sleek 5ml/1. Sleek 5ml PSD (Uncapped) /7. GBSleek5SpryGlMatt.psd,ready,hero,
sleek-5ml-clear-13-415-rollon,GBSleek5MtlRollGlMatt,GB-SLK-CLR-5ML-MRL-MGLD,GBSleek5MtlRollGlMatt__GB-SLK-CLR-5ML-MRL-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/5. Sleek 5ml/2. Sleek 5ml (Capped) PSD/16. GBSleek5MtlRollGlMatt.psd,ready,,
sleek-5ml-clear-13-415-rollon,GBSleek5MtlRollGlMatt,GB-SLK-CLR-5ML-MRL-MGLD,GBSleek5MtlRollGlMatt__GB-SLK-CLR-5ML-MRL-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/5. Sleek 5ml/1. Sleek 5ml PSD (Uncapped) /16. GBSleek5MtlRollGlMatt.psd,ready,hero,
sleek-8ml-clear-13-415,GBSleek8Gl,GB-SLK-CLR-8ML-GLD-T,GBSleek8Gl__GB-SLK-CLR-8ML-GLD-T.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/6. Sleek 8ml/2. Sleek 8ml (Capped) PSD/28. GBSleek8Gl.psd,ready,,
sleek-8ml-clear-13-415,GBSleek8Gl,GB-SLK-CLR-8ML-GLD-T,GBSleek8Gl__GB-SLK-CLR-8ML-GLD-T.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/6. Sleek 8ml/1. Sleek 8ml (Uncapped) PSD /28. GBSleek8Gl.psd,ready,hero,
sleek-8ml-clear-13-415-finemist,GBSleek8SpryGlMatt,GB-SLK-CLR-8ML-SPR-MGLD,GBSleek8SpryGlMatt__GB-SLK-CLR-8ML-SPR-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/6. Sleek 8ml/2. Sleek 8ml (Capped) PSD/7. GBSleek8SpryGlMatt.psd,ready,,
sleek-8ml-clear-13-415-finemist,GBSleek8SpryGlMatt,GB-SLK-CLR-8ML-SPR-MGLD,GBSleek8SpryGlMatt__GB-SLK-CLR-8ML-SPR-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/6. Sleek 8ml/1. Sleek 8ml (Uncapped) PSD /7. GBSleek8SpryGlMatt.psd,ready,hero,
sleek-8ml-clear-13-415-rollon,GBSleek8MtlRollGlMatt,GB-SLK-CLR-8ML-MRL-MGLD,GBSleek8MtlRollGlMatt__GB-SLK-CLR-8ML-MRL-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/6. Sleek 8ml/2. Sleek 8ml (Capped) PSD/16. GBSleek8MtlRollGlMatt.psd,ready,,
sleek-8ml-clear-13-415-rollon,GBSleek8MtlRollGlMatt,GB-SLK-CLR-8ML-MRL-MGLD,GBSleek8MtlRollGlMatt__GB-SLK-CLR-8ML-MRL-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/6. Sleek 8ml/1. Sleek 8ml (Uncapped) PSD /16. GBSleek8MtlRollGlMatt.psd,ready,hero,
