groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,heroRole,note
circle-15ml-clear-13-415-rollon,GBCrcl15MtlRollGlMatt,GB-CIR-CLR-15ML-MRL-MGLD,GBCrcl15MtlRollGlMatt__GB-CIR-CLR-15ML-MRL-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/17. Circle 15ml/1. Circle 15ml (Uncapped) PSD /16. GBCrcl15MtlRollGlMatt.psd,ready,hero,
circle-30ml-clear-15-415,GBCrcl30GlCap,GB-CIR-CLR-30ML-GLD-T,GBCrcl30GlCap__GB-CIR-CLR-30ML-GLD-T.png,identity-cap-on,bbuat,2. PSD Capped /4.  15-415 Bottles/1. Circle Clear 30ml - Capped/Circle 30ml/7. GBCrcl30GlCap..psd,ready,,
circle-30ml-clear-15-415,GBCrcl30GlCap,GB-CIR-CLR-30ML-GLD-T,GBCrcl30GlCap__GB-CIR-CLR-30ML-GLD-T.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /4.  15-415 Bottles/2. Circle Clear 30ml - Uncapped/Circle 30ml/7. GBCrcl30GlCap.psd,ready,hero,
circle-30ml-clear-15-415-perfumespray,GBCrcl30SpryMattGl,GB-CIR-CLR-30ML-SPR-MGLD,GBCrcl30SpryMattGl__GB-CIR-CLR-30ML-SPR-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /4.  15-415 Bottles/1. Circle Clear 30ml - Capped/Circle 30ml/5. GBCrcl30SpryMattGl.psd,ready,,
circle-30ml-clear-15-415-perfumespray,GBCrcl30SpryMattGl,GB-CIR-CLR-30ML-SPR-MGLD,GBCrcl30SpryMattGl__GB-CIR-CLR-30ML-SPR-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /4.  15-415 Bottles/2. Circle Clear 30ml - Uncapped/Circle 30ml/5. GBCrcl30SpryMattGl.psd,ready,hero,
circle-50ml-clear-18-415-antiquespray,GBCrcl50AnSpGl,GB-CIR-CLR-50ML-ASP-GLD,GBCrcl50AnSpGl__GB-CIR-CLR-50ML-ASP-GLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/4. Circle Glass 50ml/1. Circle Glass 50ml PSD/37. GBCrcl50AnSpGl.psd,ready,,
circle-50ml-clear-18-415-antiquespray,GBCrcl50AnSpGl,GB-CIR-CLR-50ML-ASP-GLD,GBCrcl50AnSpGl__GB-CIR-CLR-50ML-ASP-GLD.png,pdp-cap-off-sidecar,,,missing-role,hero,
circle-50ml-clear-18-415-antiquespray-tassel,GBCrcl50AnSpTslIvyGl,GB-CIR-CLR-50ML-AST-IVGD,GBCrcl50AnSpTslIvyGl__GB-CIR-CLR-50ML-AST-IVGD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/4. Circle Glass 50ml/1. Circle Glass 50ml PSD/43. GBCrcl50AnSpTslIvyGl.psd,ready,,
circle-50ml-clear-18-415-antiquespray-tassel,GBCrcl50AnSpTslIvyGl,GB-CIR-CLR-50ML-AST-IVGD,GBCrcl50AnSpTslIvyGl__GB-CIR-CLR-50ML-AST-IVGD.png,pdp-cap-off-sidecar,,,missing-role,hero,
circle-50ml-clear-18-415-dropper,GBCrcl50DrpGl,GB-CIR-CLR-50ML-DRP-GLD,GBCrcl50DrpGl__GB-CIR-CLR-50ML-DRP-GLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/4. Circle Glass 50ml/1. Circle Glass 50ml PSD/52. GBCrcl50DrpGl.psd,ready,hero,
