groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,note
cylinder-9ml-frosted-17-415-lotionpump,LBCylFrst9LtnMtSl,LB-CYL-FRS-9ML-LPM-MSLV,LBCylFrst9LtnMtSl__LB-CYL-FRS-9ML-LPM-MSLV.png,identity-cap-on,bbuat,2. PSD Capped /3.  17-415 Bottles/6. Frosted 9ml (Capped)/27. LBCylFrst9LtnMtSl.psd,ready,
cylinder-9ml-frosted-17-415-lotionpump,LBCylFrst9LtnMtSl,LB-CYL-FRS-9ML-LPM-MSLV,LBCylFrst9LtnMtSl__LB-CYL-FRS-9ML-LPM-MSLV.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /3.  17-415 Bottles/5. Frosted 9ml (Uncapped)/27. LBCylFrst9LtnMtSl.psd,ready,
cylinder-9ml-frosted-17-415-rollon,GBCylFrst9MtlRollBlkDot,GB-CYL-FRS-9ML-MRL-BKDT,GBCylFrst9MtlRollBlkDot__GB-CYL-FRS-9ML-MRL-BKDT.png,identity-cap-on,bbuat,2. PSD Capped /3.  17-415 Bottles/6. Frosted 9ml (Capped)/2. GBCylFrst9MtlRollBlkDot.psd,ready,
cylinder-9ml-frosted-17-415-rollon,GBCylFrst9MtlRollBlkDot,GB-CYL-FRS-9ML-MRL-BKDT,GBCylFrst9MtlRollBlkDot__GB-CYL-FRS-9ML-MRL-BKDT.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /3.  17-415 Bottles/5. Frosted 9ml (Uncapped)/2. GBCylFrst9MtlRollBlkDot.psd,ready,
cylinder-9ml-swirl-17-415-finemist,GBCylSwrl9SpryMattSl,GB-CYL-CLR-9ML-SPR-MSLV-01,GBCylSwrl9SpryMattSl__GB-CYL-CLR-9ML-SPR-MSLV-01.png,identity-cap-on,bbuat,2. PSD Capped /3.  17-415 Bottles/8. Swirl 9ml (Capped)/22. GBCylSwrl9SpryMattSl.psd,ready,
cylinder-9ml-swirl-17-415-finemist,GBCylSwrl9SpryMattSl,GB-CYL-CLR-9ML-SPR-MSLV-01,GBCylSwrl9SpryMattSl__GB-CYL-CLR-9ML-SPR-MSLV-01.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /3.  17-415 Bottles/7. Swirl 9ml (Uncapped)/22. GBCylSwrl9SpryMattSl.psd,ready,
cylinder-9ml-swirl-17-415-lotionpump,LBCylSwrl9LtnMtSl,LB-CYL-CLR-9ML-LPM-MSLV,LBCylSwrl9LtnMtSl__LB-CYL-CLR-9ML-LPM-MSLV.png,identity-cap-on,bbuat,2. PSD Capped /3.  17-415 Bottles/8. Swirl 9ml (Capped)/27. LBCylSwrl9LtnMtSl.psd,ready,
cylinder-9ml-swirl-17-415-lotionpump,LBCylSwrl9LtnMtSl,LB-CYL-CLR-9ML-LPM-MSLV,LBCylSwrl9LtnMtSl__LB-CYL-CLR-9ML-LPM-MSLV.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /3.  17-415 Bottles/7. Swirl 9ml (Uncapped)/27. LBCylSwrl9LtnMtSl.psd,ready,
cylinder-9ml-swirl-17-415-rollon,GBCylSwrl9MtlRollBlkDot,GB-CYL-CLR-9ML-MRL-BKDT-01,GBCylSwrl9MtlRollBlkDot__GB-CYL-CLR-9ML-MRL-BKDT-01.png,identity-cap-on,bbuat,2. PSD Capped /3.  17-415 Bottles/8. Swirl 9ml (Capped)/2. GBCylSwrl9MtlRollBlkDot.psd,ready,
cylinder-9ml-swirl-17-415-rollon,GBCylSwrl9MtlRollBlkDot,GB-CYL-CLR-9ML-MRL-BKDT-01,GBCylSwrl9MtlRollBlkDot__GB-CYL-CLR-9ML-MRL-BKDT-01.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /3.  17-415 Bottles/7. Swirl 9ml (Uncapped)/2. GBCylSwrl9MtlRollBlkDot.psd,ready,
